iller,x,y
Adana,-6,-138
Adıyaman,210,-59
Afyonkarahisar,-355,28
Ağrı,544,148
Aksaray,-102,-11
Amasya,26,201
Ankara,-184,134
Antalya,-349,-143
Ardahan,507,271
Artvin,444,275
Aydın,-558,-46
Balıkesir,-542,121
Bartın,-218,294
Batman,420,-38
Bayburt,338,180
Bilecik,-391,158
Bingöl,367,54
Bitlis,487,16
Bolu,-275,209
Burdur,-398,-86
Bursa,-456,166
Çanakkale,-642,173
Çankırı,-132,195
Çorum,-35,192
Denizli,-468,-56
Diyarbakır,352,-39
Düzce,-307,221
Edirne,-623,318
Elazığ,273,27
Erzincan,290,128
Erzurum,424,154
Eskişehir,-355,124
Gaziantep,148,-127
Giresun,207,229
Gümüşhane,281,190
Hakkâri,623,-51
Hatay,60,-210
Iğdır,613,173
Isparta,-336,-51
İstanbul,-459,246
İzmir,-602,4
Kahramanmaraş,112,-78
Karabük,-200,253
Karaman,-161,-123
Kars,536,228
Kastamonu,-124,269
Kayseri,4,22
Kilis,128,-161
Kırıkkale,-136,124
Kırklareli,-578,316
Kırşehir,-91,62
Kocaeli,-392,219
Konya,-215,-55
Kütahya,-393,92
Malatya,211,-6
Manisa,-546,31
Mardin,396,-93
Mersin,-71,156
Muğla,-524,-105
Muş,441,46
Nevşehir,-52,9
Niğde,-53,-47
Ordu,150,233
Osmaniye,62,-119
Rize,369,251
Sakarya,-358,221
Samsun,56,260
Şanlıurfa,262,-119
Siirt,476,-27
Sinop,-26,329
Sivas,110,121
Şırnak,521,-62
Tekirdağ,-563,253
Tokat,76,169
Trabzon,297,244
Tunceli,295,70
Uşak,-438,23
Van,580,35
Yalova,-441,207
Yozgat,-48,127
Zonguldak,-258,274